,Attack,Annotation
77,<font color = green>POS (99.88%)</font> --> <font color = red>NEG (95.91%)</font> </br></br> <b>Original:</b> the <font color = green>engagingly</font> primitive animated special effects contribute to a mood <font color = green>that's</font> sustained through the surprisingly somber conclusion . </br></br> <b>Perturbed:</b> the <font color = red>generally</font> primitive animated special effects contribute to a mood <font color = red>iness</font> sustained through the surprisingly somber conclusion .,CONSISTENT
78,<font color = red>NEG (99.94%)</font> --> <font color = green>POS (99.92%)</font> </br></br> <b>Original:</b> entertainment more <font color = red>disposable</font> than hanna-barbera's half-hour cartoons ever were . </br></br> <b>Perturbed:</b> entertainment more <font color = green>intimate</font> than hanna-barbera's half-hour cartoons ever were .,CONSISTENT
79,<font color = green>POS (85.17%)</font> --> <font color = red>NEG (99.78%)</font> </br></br> <b>Original:</b> the closest thing to the <font color = green>experience</font> of space travel </br></br> <b>Perturbed:</b> the closest thing to the <font color = red>death</font> of space travel,I DON'T KNOW
80,"<font color = red>NEG (99.84%)</font> --> <font color = green>POS (72.3%)</font> </br></br> <b>Original:</b> after <font color = red>several</font> scenes of this tacky nonsense , you'll be wistful for the testosterone-charged wizardry of jerry <font color = red>bruckheimer</font> productions , especially because half past dead is <font color = red>like</font> the rock on a wal-mart budget . </br></br> <b>Perturbed:</b> after <font color = green>certain</font> scenes of this tacky nonsense , you'll be wistful for the testosterone-charged wizardry of jerry <font color = green>man</font> productions , especially because half past dead is <font color = green>worth</font> the rock on a wal-mart budget .",CONSISTENT
81,<font color = green>POS (99.95%)</font> --> <font color = red>NEG (98.28%)</font> </br></br> <b>Original:</b> the most <font color = green>ingenious</font> film comedy since being john malkovich . </br></br> <b>Perturbed:</b> the most <font color = red>difficult</font> film comedy since being john malkovich .,INCONSISTENT
82,<font color = green>POS (99.34%)</font> --> <font color = red>NEG (99.94%)</font> </br></br> <b>Original:</b> . . . quite <font color = green>good</font> at providing some good old fashioned spooks . </br></br> <b>Perturbed:</b> . . . quite <font color = red>terrible</font> at providing some good old fashioned spooks .,INCONSISTENT
83,<font color = green>POS (98.41%)</font> --> <font color = red>NEG (99.54%)</font> </br></br> <b>Original:</b> about the best thing you could say about narc is that it's a <font color = green>rock-solid</font> little genre picture . whether you like it or not is basically a matter of taste . </br></br> <b>Perturbed:</b> about the best thing you could say about narc is that it's a <font color = red>simple</font> little genre picture . whether you like it or not is basically a matter of taste .,CONSISTENT
84,<font color = red>NEG (99.87%)</font> --> <font color = green>POS (69.89%)</font> </br></br> <b>Original:</b> what a great shame that such a talented director as chen kaige has chosen to make his english-language debut with a film so <font color = red>poorly</font> plotted and scripted . </br></br> <b>Perturbed:</b> what a great shame that such a talented director as chen kaige has chosen to make his english-language debut with a film so <font color = green>highly</font> plotted and scripted .,INCONSISTENT
85,<font color = green>POS (98.66%)</font> --> <font color = red>NEG (99.91%)</font> </br></br> <b>Original:</b> the <font color = green>rare</font> imax movie that you'll wish was longer than an hour . </br></br> <b>Perturbed:</b> the <font color = red>nearest</font> imax movie that you'll wish was longer than an hour .,CONSISTENT
86,"<font color = red>NEG (99.91%)</font> --> <font color = green>POS (63.47%)</font> </br></br> <b>Original:</b> it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a <font color = red>sappy</font> , preachy one at that . </br></br> <b>Perturbed:</b> it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a <font color = green>sad</font> , preachy one at that .",CONSISTENT
87,"<font color = green>POS (99.7%)</font> --> <font color = red>NEG (68.36%)</font> </br></br> <b>Original:</b> it's a testament to de niro and director michael caton-jones that by movie's end , we <font color = green>accept</font> the characters and the film , flaws and all . </br></br> <b>Perturbed:</b> it's a testament to de niro and director michael caton-jones that by movie's end , we <font color = red>had</font> the characters and the film , flaws and all .",CONSISTENT
88,"<font color = green>POS (97.23%)</font> --> <font color = red>NEG (98.88%)</font> </br></br> <b>Original:</b> a huge box-office hit in <font color = green>korea</font> , <font color = green>shiri</font> is a must for genre fans . </br></br> <b>Perturbed:</b> a huge box-office hit in <font color = red>tokyo</font> , <font color = red>death</font> is a must for genre fans .",CONSISTENT
89,<font color = green>POS (99.96%)</font> --> <font color = red>NEG (89.47%)</font> </br></br> <b>Original:</b> exposing the ways we fool ourselves is one hour <font color = green>photo's</font> real strength . </br></br> <b>Perturbed:</b> exposing the ways we fool ourselves is one hour <font color = red>beneath</font> real strength .,CONSISTENT
90,"<font color = red>NEG (99.85%)</font> --> <font color = green>POS (52.63%)</font> </br></br> <b>Original:</b> unfortunately , the experience of actually watching the movie is <font color = red>less</font> compelling than the circumstances of its making . </br></br> <b>Perturbed:</b> unfortunately , the experience of actually watching the movie is <font color = green>differently</font> compelling than the circumstances of its making .",CONSISTENT
91,<font color = red>NEG (99.51%)</font> --> <font color = green>POS (99.96%)</font> </br></br> <b>Original:</b> a <font color = red>rehash</font> of every gangster movie from the past decade . </br></br> <b>Perturbed:</b> a <font color = green>chronicle</font> of every gangster movie from the past decade .,I DON'T KNOW
92,<font color = green>POS (99.74%)</font> --> <font color = red>NEG (99.88%)</font> </br></br> <b>Original:</b> the <font color = green>story</font> is <font color = green>smart</font> and entirely charming in <font color = green>intent</font> and execution . </br></br> <b>Perturbed:</b> the <font color = red>guy</font> is <font color = red>drunk</font> and entirely charming in <font color = red>disguise</font> and execution .,I DON'T KNOW
93,"<font color = red>NEG (99.89%)</font> --> <font color = green>POS (99.66%)</font> </br></br> <b>Original:</b> talkiness isn't necessarily bad , but the dialogue frequently <font color = red>misses</font> the mark . </br></br> <b>Perturbed:</b> talkiness isn't necessarily bad , but the dialogue frequently <font color = green>meets</font> the mark .",INCONSISTENT
94,<font color = green>POS (99.81%)</font> --> <font color = red>NEG (50.68%)</font> </br></br> <b>Original:</b> you never know where changing lanes is going to take you but it's a <font color = green>heck</font> of a ride . samuel l . jackson is one of the best actors there is . </br></br> <b>Perturbed:</b> you never know where changing lanes is going to take you but it's a <font color = red>wreck</font> of a ride . samuel l . jackson is one of the best actors there is .,CONSISTENT
95,<font color = green>POS (80.87%)</font> --> <font color = red>NEG (98.85%)</font> </br></br> <b>Original:</b> there has to be a few <font color = green>advantages</font> to never growing old . like being <font color = green>able</font> to hit on a 15-year old when you're over 100 . </br></br> <b>Perturbed:</b> there has to be a few <font color = red>benefits</font> to never growing old . like being <font color = red>unable</font> to hit on a 15-year old when you're over 100 .,INCONSISTENT
96,<font color = red>NEG (99.89%)</font> --> <font color = green>POS (77.1%)</font> </br></br> <b>Original:</b> [hell is] <font color = red>looking</font> down at your watch and realizing serving sara isn't <font color = red>even</font> halfway through . </br></br> <b>Perturbed:</b> [hell is] <font color = green>looks</font> down at your watch and realizing serving sara isn't <font color = green>only</font> halfway through .,CONSISTENT
97,"<font color = red>NEG (98.98%)</font> --> <font color = green>POS (83.44%)</font> </br></br> <b>Original:</b> for <font color = red>something</font> as splendid-looking as this particular film , the viewer expects something special but instead gets [sci-fi] rehash . </br></br> <b>Perturbed:</b> for <font color = green>being</font> as splendid-looking as this particular film , the viewer expects something special but instead gets [sci-fi] rehash .",CONSISTENT
98,<font color = red>NEG (99.95%)</font> --> <font color = green>POS (93.79%)</font> </br></br> <b>Original:</b> lurid and <font color = red>less</font> than lucid work . </br></br> <b>Perturbed:</b> lurid and <font color = green>richer</font> than lucid work .,INCONSISTENT
99,"<font color = green>POS (97.69%)</font> --> <font color = red>NEG (96.47%)</font> </br></br> <b>Original:</b> by its modest , <font color = green>straight-ahead</font> standards , undisputed scores a direct hit . </br></br> <b>Perturbed:</b> by its modest , <font color = red>generic</font> standards , undisputed scores a direct hit .",CONSISTENT
