,Attack,Annotation
71,<font color = green>POS (99.96%)</font> --> <font color = red>NEG (62.65%)</font> </br></br> <b>Original:</b> one of the <font color = green>best</font> of a <font color = green>growing</font> <font color = green>strain</font> of daring <font color = green>films</font> . . . that <font color = green>argue</font> that any sexual relationship that doesn't hurt anyone and works for its <font color = green>participants</font> is a relationship that is <font color = green>worthy</font> of our respect . </br></br> <b>Perturbed:</b> one of the <font color = red>better</font> of a <font color = red>grew</font> <font color = red>stump</font> of daring <font color = red>productions</font> . . . that <font color = red>allegation</font> that any sexual relationship that doesn't hurt anyone and works for its <font color = red>gamers</font> is a relationship that is <font color = red>presentable</font> of our respect .,I DON'T KNOW
72,"<font color = red>NEG (99.9%)</font> --> <font color = green>POS (70.52%)</font> </br></br> <b>Original:</b> a cellophane-pop remake of the punk classic ladies and gentlemen , the fabulous stains . . . crossroads is <font color = red>never</font> <font color = red>much</font> <font color = red>worse</font> than <font color = red>bland</font> or better than inconsequential . </br></br> <b>Perturbed:</b> a cellophane-pop remake of the punk classic ladies and gentlemen , the fabulous stains . . . crossroads is <font color = green>not</font> <font color = green>muy</font> <font color = green>poorer</font> than <font color = green>saccharine</font> or better than inconsequential .",I DON'T KNOW
73,<font color = green>POS (99.81%)</font> --> <font color = red>NEG (51.42%)</font> </br></br> <b>Original:</b> you never know where changing lanes is going to take you but it's a <font color = green>heck</font> of a <font color = green>ride</font> . samuel l . jackson is one of the <font color = green>best</font> <font color = green>actors</font> there is . </br></br> <b>Perturbed:</b> you never know where changing lanes is going to take you but it's a <font color = red>scrawl</font> of a <font color = red>ballad</font> . samuel l . jackson is one of the <font color = red>nicest</font> <font color = red>operators</font> there is .,I DON'T KNOW
74,"<font color = red>NEG (98.63%)</font> --> <font color = green>POS (84.68%)</font> </br></br> <b>Original:</b> by the end of it all i sort of loved the people onscreen , even though i could not stand them . perhaps the film should be seen as a conversation starter . it's not an <font color = red>easy</font> one to review . </br></br> <b>Perturbed:</b> by the end of it all i sort of loved the people onscreen , even though i could not stand them . perhaps the film should be seen as a conversation starter . it's not an <font color = green>uncomplicated</font> one to review .",CONSISTENT
75,<font color = green>POS (99.49%)</font> --> <font color = red>NEG (99.6%)</font> </br></br> <b>Original:</b> watching spirited away is like watching an eastern imagination <font color = green>explode</font> . </br></br> <b>Perturbed:</b> watching spirited away is like watching an eastern imagination <font color = red>blowup</font> .,CONSISTENT
76,"<font color = red>NEG (99.84%)</font> --> <font color = green>POS (96.9%)</font> </br></br> <b>Original:</b> after several scenes of this tacky <font color = red>nonsense</font> , you'll be <font color = red>wistful</font> for the testosterone-charged <font color = red>wizardry</font> of jerry bruckheimer productions , especially because half past dead is like the rock on a wal-mart budget . </br></br> <b>Perturbed:</b> after several scenes of this tacky <font color = green>senseless</font> , you'll be <font color = green>introspective</font> for the testosterone-charged <font color = green>magic</font> of jerry bruckheimer productions , especially because half past dead is like the rock on a wal-mart budget .",CONSISTENT
77,"<font color = red>NEG (89.78%)</font> --> <font color = green>POS (92.36%)</font> </br></br> <b>Original:</b> when [reno] lets her radical flag fly , taking angry potshots at george w . bush , henry kissinger , larry king , et al . , reno devolves into a laugh-free <font color = red>lecture</font> . </br></br> <b>Perturbed:</b> when [reno] lets her radical flag fly , taking angry potshots at george w . bush , henry kissinger , larry king , et al . , reno devolves into a laugh-free <font color = green>lesson</font> .",CONSISTENT
78,"<font color = red>NEG (79.67%)</font> --> <font color = green>POS (78.03%)</font> </br></br> <b>Original:</b> <font color = red>belongs</font> in the too-hot-for-tv direct-to-video/dvd category , and this is why i have given it a one-star <font color = red>rating</font> . </br></br> <b>Perturbed:</b> <font color = green>relates</font> in the too-hot-for-tv direct-to-video/dvd category , and this is why i have given it a one-star <font color = green>score</font> .",CONSISTENT
79,<font color = green>POS (99.77%)</font> --> <font color = red>NEG (82.89%)</font> </br></br> <b>Original:</b> what sets this romantic comedy <font color = green>apart</font> from most hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material . </br></br> <b>Perturbed:</b> what sets this romantic comedy <font color = red>conversely</font> from most hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material .,I DON'T KNOW
80,"<font color = red>NEG (99.91%)</font> --> <font color = green>POS (99.47%)</font> </br></br> <b>Original:</b> it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a <font color = red>sappy</font> , preachy one at that . </br></br> <b>Perturbed:</b> it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a <font color = green>romantic</font> , preachy one at that .",INCONSISTENT
81,"<font color = red>NEG (99.53%)</font> --> <font color = green>POS (51.62%)</font> </br></br> <b>Original:</b> blade ii has a brilliant director and charismatic star , but it <font color = red>suffers</font> from <font color = red>rampant</font> <font color = red>vampire</font> devaluation . </br></br> <b>Perturbed:</b> blade ii has a brilliant director and charismatic star , but it <font color = green>hardship</font> from <font color = green>unabated</font> <font color = green>werewolves</font> devaluation .",I DON'T KNOW
82,<font color = green>POS (99.9%)</font> --> <font color = red>NEG (86.97%)</font> </br></br> <b>Original:</b> sex with strangers is <font color = green>fascinating</font> . . . </br></br> <b>Perturbed:</b> sex with strangers is <font color = red>scintillating</font> . . .,CONSISTENT
83,"<font color = red>NEG (99.8%)</font> --> <font color = green>POS (96.58%)</font> </br></br> <b>Original:</b> the pacing is <font color = red>deadly</font> , the narration helps <font color = red>little</font> and naipaul , a juicy writer , is negated . </br></br> <b>Perturbed:</b> the pacing is <font color = green>lethally</font> , the narration helps <font color = green>low</font> and naipaul , a juicy writer , is negated .",CONSISTENT
84,<font color = green>POS (91.35%)</font> --> <font color = red>NEG (51.9%)</font> </br></br> <b>Original:</b> waiting for godard can be <font color = green>fruitful</font> : 'in praise of love' is the director's epitaph for himself . </br></br> <b>Perturbed:</b> waiting for godard can be <font color = red>helpful</font> : 'in praise of love' is the director's epitaph for himself .,CONSISTENT
85,<font color = red>NEG (99.93%)</font> --> <font color = green>POS (57.74%)</font> </br></br> <b>Original:</b> <font color = red>nothing</font> but an episode of smackdown ! in period <font color = red>costume</font> and with a <font color = red>bigger</font> budget . </br></br> <b>Perturbed:</b> <font color = green>nope</font> but an episode of smackdown ! in period <font color = green>attire</font> and with a <font color = green>strongest</font> budget .,CONSISTENT
86,<font color = green>POS (99.81%)</font> --> <font color = red>NEG (57.08%)</font> </br></br> <b>Original:</b> another <font color = green>best</font> of the year selection . </br></br> <b>Perturbed:</b> another <font color = red>better</font> of the year selection .,CONSISTENT
87,"<font color = red>NEG (99.9%)</font> --> <font color = green>POS (77.76%)</font> </br></br> <b>Original:</b> it stars schticky chris rock and stolid anthony hopkins , who seem barely in the same movie . their <font color = red>contrast</font> is neither <font color = red>dramatic</font> nor comic -- it's just a <font color = red>weird</font> fizzle . </br></br> <b>Perturbed:</b> it stars schticky chris rock and stolid anthony hopkins , who seem barely in the same movie . their <font color = green>discrepancy</font> is neither <font color = green>extreme</font> nor comic -- it's just a <font color = green>uncanny</font> fizzle .",INCONSISTENT
88,"<font color = green>POS (99.93%)</font> --> <font color = red>NEG (69.18%)</font> </br></br> <b>Original:</b> a grittily <font color = green>beautiful</font> film that looks , sounds , and feels more like an extended , open-ended poem than a <font color = green>traditionally</font> structured story . </br></br> <b>Perturbed:</b> a grittily <font color = red>magnifique</font> film that looks , sounds , and feels more like an extended , open-ended poem than a <font color = red>fluently</font> structured story .",INCONSISTENT
89,"<font color = red>NEG (99.93%)</font> --> <font color = green>POS (99.93%)</font> </br></br> <b>Original:</b> <font color = red>dull</font> , a road-trip movie that's <font color = red>surprisingly</font> <font color = red>short</font> of both adventure and song . </br></br> <b>Perturbed:</b> <font color = green>uninspiring</font> , a road-trip movie that's <font color = green>superbly</font> <font color = green>pithy</font> of both adventure and song .",INCONSISTENT
90,<font color = green>POS (80.87%)</font> --> <font color = red>NEG (53.3%)</font> </br></br> <b>Original:</b> there has to be a few advantages to never <font color = green>growing</font> old . like being able to hit on a 15-year old when you're over 100 . </br></br> <b>Perturbed:</b> there has to be a few advantages to never <font color = red>heightened</font> old . like being able to hit on a 15-year old when you're over 100 .,I DON'T KNOW
91,<font color = green>POS (99.44%)</font> --> <font color = red>NEG (68.18%)</font> </br></br> <b>Original:</b> the lady and the duke is eric rohmer's <font color = green>economical</font> <font color = green>antidote</font> to the bloated costume drama </br></br> <b>Perturbed:</b> the lady and the duke is eric rohmer's <font color = red>inexpensive</font> <font color = red>curative</font> to the bloated costume drama,CONSISTENT
92,"<font color = red>NEG (99.5%)</font> --> <font color = green>POS (51.5%)</font> </br></br> <b>Original:</b> whether this is art imitating life or life imitating art , it's an <font color = red>unhappy</font> situation all around . </br></br> <b>Perturbed:</b> whether this is art imitating life or life imitating art , it's an <font color = green>sorrowful</font> situation all around .",CONSISTENT
93,<font color = red>NEG (98.87%)</font> --> <font color = green>POS (93.6%)</font> </br></br> <b>Original:</b> it's hard to understand why anyone in his right mind would even think to make the attraction a movie . and it's <font color = red>harder</font> <font color = red>still</font> to believe that anyone in his right mind would want to see the it . </br></br> <b>Perturbed:</b> it's hard to understand why anyone in his right mind would even think to make the attraction a movie . and it's <font color = green>strongest</font> <font color = green>however</font> to believe that anyone in his right mind would want to see the it .,I DON'T KNOW
94,<font color = green>POS (99.88%)</font> --> <font color = red>NEG (62.03%)</font> </br></br> <b>Original:</b> that haynes can both maintain and dismantle the <font color = green>facades</font> that his <font color = green>genre</font> and his character <font color = green>construct</font> is a wonderous <font color = green>accomplishment</font> of veracity and narrative grace . </br></br> <b>Perturbed:</b> that haynes can both maintain and dismantle the <font color = red>fronts</font> that his <font color = red>kind</font> and his character <font color = red>engender</font> is a wonderous <font color = red>avail</font> of veracity and narrative grace .,CONSISTENT
95,<font color = red>NEG (99.89%)</font> --> <font color = green>POS (58.85%)</font> </br></br> <b>Original:</b> the <font color = red>whole</font> talking-animal <font color = red>thing</font> is grisly . </br></br> <b>Perturbed:</b> the <font color = green>comprehensive</font> talking-animal <font color = green>element</font> is grisly .,CONSISTENT
96,<font color = green>POS (99.51%)</font> --> <font color = red>NEG (83.94%)</font> </br></br> <b>Original:</b> what's so <font color = green>striking</font> about jolie's performance is that she <font color = green>never</font> lets her character become a caricature -- not even with that radioactive hair . </br></br> <b>Perturbed:</b> what's so <font color = red>whopping</font> about jolie's performance is that she <font color = red>not</font> lets her character become a caricature -- not even with that radioactive hair .,CONSISTENT
97,"<font color = red>NEG (99.94%)</font> --> <font color = green>POS (83.38%)</font> </br></br> <b>Original:</b> a <font color = red>relentless</font> , bombastic and ultimately <font color = red>empty</font> world war ii action flick . </br></br> <b>Perturbed:</b> a <font color = green>ruthless</font> , bombastic and ultimately <font color = green>bereft</font> world war ii action flick .",INCONSISTENT
98,<font color = green>POS (99.89%)</font> --> <font color = red>NEG (89.2%)</font> </br></br> <b>Original:</b> heartwarming and <font color = green>gently</font> <font color = green>comic</font> <font color = green>even</font> as the film <font color = green>breaks</font> your heart . </br></br> <b>Perturbed:</b> heartwarming and <font color = red>modestly</font> <font color = red>laughable</font> <font color = red>instead</font> as the film <font color = red>break</font> your heart .,INCONSISTENT
99,<font color = green>POS (99.95%)</font> --> <font color = red>NEG (63.05%)</font> </br></br> <b>Original:</b> an <font color = green>intimate</font> contemplation of two marvelously <font color = green>messy</font> lives . </br></br> <b>Perturbed:</b> an <font color = red>cosy</font> contemplation of two marvelously <font color = red>clumsy</font> lives .,CONSISTENT
